serum,strain,plate_barcode,dilution_factor,frac_infectivity_raw,frac_infectivity_ceiling
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,40,0.4749,0.4749
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,92,0.4833,0.4833
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,212,0.4501,0.4501
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,487,0.6981,0.6981
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,1119,1.138,1
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,2575,1.435,1
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,5921,1.34,1
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,1.362e+04,1.045,1
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01217/2025_H1N1,plate13-A/Andalucia/PMC-01217/2025_H1N1,40,0.2021,0.2021
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01217/2025_H1N1,plate13-A/Andalucia/PMC-01217/2025_H1N1,92,0.4823,0.4823
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01217/2025_H1N1,plate13-A/Andalucia/PMC-01217/2025_H1N1,212,0.6093,0.6093
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01217/2025_H1N1,plate13-A/Andalucia/PMC-01217/2025_H1N1,487,0.6581,0.6581
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01217/2025_H1N1,plate13-A/Andalucia/PMC-01217/2025_H1N1,1119,1.315,1
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01217/2025_H1N1,plate13-A/Andalucia/PMC-01217/2025_H1N1,2575,1.497,1
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01217/2025_H1N1,plate13-A/Andalucia/PMC-01217/2025_H1N1,5921,1.297,1
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01217/2025_H1N1,plate13-A/Andalucia/PMC-01217/2025_H1N1,1.362e+04,1.223,1
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01495/2025_H1N1,plate13-A/Andalucia/PMC-01495/2025_H1N1,40,0.6852,0.6852
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01495/2025_H1N1,plate13-A/Andalucia/PMC-01495/2025_H1N1,92,0.9139,0.9139
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01495/2025_H1N1,plate13-A/Andalucia/PMC-01495/2025_H1N1,212,0.8621,0.8621
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01495/2025_H1N1,plate13-A/Andalucia/PMC-01495/2025_H1N1,487,1.247,1
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01495/2025_H1N1,plate13-A/Andalucia/PMC-01495/2025_H1N1,1119,1.154,1
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01495/2025_H1N1,plate13-A/Andalucia/PMC-01495/2025_H1N1,2575,1.775,1
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01495/2025_H1N1,plate13-A/Andalucia/PMC-01495/2025_H1N1,5921,2.006,1
flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01495/2025_H1N1,plate13-A/Andalucia/PMC-01495/2025_H1N1,1.362e+04,2.438,1
flu-seqneut-2026-SCH-034,A/Arizona/40/2026_H1N1,plate13-A/Arizona/40/2026_H1N1,40,0.2988,0.2988
flu-seqneut-2026-SCH-034,A/Arizona/40/2026_H1N1,plate13-A/Arizona/40/2026_H1N1,92,1.062,1
flu-seqneut-2026-SCH-034,A/Arizona/40/2026_H1N1,plate13-A/Arizona/40/2026_H1N1,212,0.9542,0.9542
flu-seqneut-2026-SCH-034,A/Arizona/40/2026_H1N1,plate13-A/Arizona/40/2026_H1N1,487,0.4671,0.4671
flu-seqneut-2026-SCH-034,A/Arizona/40/2026_H1N1,plate13-A/Arizona/40/2026_H1N1,1119,1.167,1
flu-seqneut-2026-SCH-034,A/Arizona/40/2026_H1N1,plate13-A/Arizona/40/2026_H1N1,2575,1.582,1
flu-seqneut-2026-SCH-034,A/Arizona/40/2026_H1N1,plate13-A/Arizona/40/2026_H1N1,5921,1.076,1
flu-seqneut-2026-SCH-034,A/Arizona/40/2026_H1N1,plate13-A/Arizona/40/2026_H1N1,1.362e+04,1.647,1
flu-seqneut-2026-SCH-034,A/Astrakhan/RII-MH273373S/2025_H3N2,plate13-A/Astrakhan/RII-MH273373S/2025_H3N2,40,0,0
