group,plate,serum,virus,replicate,ic50,ic50_bound,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/Andalucia/PMC-00977/2025_H1N1,plate5-A/Andalucia/PMC-00977/2025_H1N1,8.837e-05,interpolated,0.0001436,0.0001436,interpolated,2.254,0.6675,0,0.9996,0.003768
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/Andalucia/PMC-01217/2025_H1N1,plate5-A/Andalucia/PMC-01217/2025_H1N1,8.115e-05,interpolated,9.665e-05,9.665e-05,interpolated,1.657,0.8742,0,0.9972,0.009587
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/Andalucia/PMC-01495/2025_H1N1,plate5-A/Andalucia/PMC-01495/2025_H1N1,8.254e-05,interpolated,0.0001702,0.0001702,interpolated,2.223,0.6,0,0.9883,0.01924
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/Arizona/40/2026_H1N1,plate5-A/Arizona/40/2026_H1N1,7.343e-05,upper,0.0001249,0.0001249,interpolated,2.673,0.6,0,0.9991,0.004886
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/Astrakhan/RII-MH273373S/2025_H3N2,plate5-A/Astrakhan/RII-MH273373S/2025_H3N2,0.0001578,interpolated,0.0001578,0.0001578,interpolated,1.186,1,0,0.8772,0.09516
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/Asturias/232590913/2025_H1N1,plate5-A/Asturias/232590913/2025_H1N1,9.857e-05,interpolated,9.857e-05,9.857e-05,interpolated,1.972,1,0,0.9975,0.01059
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/Badajoz/18738342/2026_H3N2,plate5-A/Badajoz/18738342/2026_H3N2,0.000361,interpolated,0.0005465,0.0005465,interpolated,3.882,0.6,0,0.963,0.04522
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/Badajoz/18811358/2026_H3N2,plate5-A/Badajoz/18811358/2026_H3N2,8.291e-05,interpolated,0.0002933,0.0002933,interpolated,1.274,0.6,0,0.9394,0.04805
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/Badajoz/18813527/2026_H3N2,plate5-A/Badajoz/18813527/2026_H3N2,0.0002085,interpolated,0.0002085,0.0002085,interpolated,1.306,1,0,0.9177,0.08732
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/Bangkok/P2390/2025_H3N2,plate5-A/Bangkok/P2390/2025_H3N2,9.877e-05,interpolated,0.0003607,0.0003607,interpolated,1.243,0.6,0,0.9244,0.05448
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/Bangkok/P2391/2025_H3N2,plate5-A/Bangkok/P2391/2025_H3N2,7.343e-05,upper,3.405e-05,7.343e-05,upper,0.8571,0.6,0,0.7148,0.04453
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/Blaenavon/6687/2026_H3N2,plate5-A/Blaenavon/6687/2026_H3N2,0.0001439,interpolated,0.0004873,0.0004873,interpolated,1.32,0.6,0,0.7968,0.106
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/Bolivia/OR5702/2025_H3N2,plate5-A/Bolivia/OR5702/2025_H3N2,0.0001369,interpolated,0.0003839,0.0003839,interpolated,1.561,0.6,0,0.9337,0.05528
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/BritishColumbia/RV00022-26/2025_H1N1,plate5-A/BritishColumbia/RV00022-26/2025_H1N1,8.276e-05,interpolated,8.276e-05,8.276e-05,interpolated,1.936,1,0,0.9977,0.00886
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/BritishColumbia/RV00279-26/2025_H3N2,plate5-A/BritishColumbia/RV00279-26/2025_H3N2,7.933e-05,interpolated,0.0002225,0.0002225,interpolated,1.152,0.6524,0,0.9097,0.05831
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/BritishColumbia/RV01350-26/2026_H1N1,plate5-A/BritishColumbia/RV01350-26/2026_H1N1,9.675e-05,interpolated,9.675e-05,9.675e-05,interpolated,1.557,1,0,0.994,0.01591
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/BritishColumbia/RV05508-25/2025_H1N1,plate5-A/BritishColumbia/RV05508-25/2025_H1N1,0.0006113,interpolated,0.0007123,0.0007123,interpolated,10,0.6084,0,0.9091,0.09129
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/California/GKISBBBH79910/2026_H3N2,plate5-A/California/GKISBBBH79910/2026_H3N2,0.0004031,interpolated,0.0005735,0.0005735,interpolated,4.565,0.6,0,0.8605,0.09638
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/California/NIRC-IS-1019/2026_H1N1,plate5-A/California/NIRC-IS-1019/2026_H1N1,7.343e-05,upper,6.931e-05,7.343e-05,upper,1.507,1,0,0.9887,0.01699
human-qc-dropped,plate5,flu-seqneut-2026-UWMC-005,A/California/NIRC-IS-1059/2026_H3N2,plate5-A/California/NIRC-IS-1059/2026_H3N2,0.0001411,interpolated,0.0001507,0.0001507,interpolated,1.051,0.9668,0,0.8946,0.07978
