group,plate,serum,virus,replicate,ic50,ic50_bound,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/Andalucia/PMC-00977/2025_H1N1,plate4-A/Andalucia/PMC-00977/2025_H1N1,0.006717,interpolated,0.009019,0.009019,interpolated,1.742,0.7992,0,0.826,0.1106
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01217/2025_H1N1,plate4-A/Andalucia/PMC-01217/2025_H1N1,0.006638,interpolated,0.008019,0.008019,interpolated,1.857,0.8519,0,0.8985,0.09357
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/Andalucia/PMC-01495/2025_H1N1,plate4-A/Andalucia/PMC-01495/2025_H1N1,0.00693,interpolated,0.00856,0.00856,interpolated,1.948,0.8314,0,0.7736,0.1429
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/Arizona/40/2026_H1N1,plate4-A/Arizona/40/2026_H1N1,0.006785,interpolated,0.007716,0.007716,interpolated,1.819,0.8957,0,0.9036,0.09409
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/Astrakhan/RII-MH273373S/2025_H3N2,plate4-A/Astrakhan/RII-MH273373S/2025_H3N2,0.0005212,interpolated,0.0005445,0.0005445,interpolated,2.592,0.9465,0,0.9869,0.0454
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/Asturias/232590913/2025_H1N1,plate4-A/Asturias/232590913/2025_H1N1,0.007255,interpolated,0.008469,0.008469,interpolated,2.31,0.8497,0,0.8642,0.1118
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/Badajoz/18738342/2026_H3N2,plate4-A/Badajoz/18738342/2026_H3N2,0.0007305,interpolated,0.0007997,0.0007997,interpolated,10,0.7021,0,0.9702,0.05703
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/Badajoz/18811358/2026_H3N2,plate4-A/Badajoz/18811358/2026_H3N2,0.0006003,interpolated,0.000659,0.000659,interpolated,3.997,0.8443,0,0.9584,0.07836
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/Badajoz/18813527/2026_H3N2,plate4-A/Badajoz/18813527/2026_H3N2,0.0004473,interpolated,0.0006661,0.0006661,interpolated,2.953,0.6543,0,0.8947,0.09778
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/Bangkok/P2390/2025_H3N2,plate4-A/Bangkok/P2390/2025_H3N2,0.0004546,interpolated,0.0006653,0.0006653,interpolated,3.017,0.6584,0,0.9824,0.03804
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/Blaenavon/6687/2026_H3N2,plate4-A/Blaenavon/6687/2026_H3N2,0.0008167,interpolated,0.001187,0.001187,interpolated,2.388,0.7047,0,0.9251,0.08629
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/Bolivia/OR5702/2025_H3N2,plate4-A/Bolivia/OR5702/2025_H3N2,0.0005985,interpolated,0.00101,0.00101,interpolated,1.989,0.6768,0,0.8421,0.1193
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/BritishColumbia/RV00022-26/2025_H1N1,plate4-A/BritishColumbia/RV00022-26/2025_H1N1,0.007674,interpolated,0.01051,0.01051,interpolated,1.55,0.8069,0,0.8922,0.07745
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/BritishColumbia/RV00279-26/2025_H3N2,plate4-A/BritishColumbia/RV00279-26/2025_H3N2,0.0005268,interpolated,0.0006598,0.0006598,interpolated,3.501,0.7274,0,0.9193,0.09556
human-qc-dropped,plate4,flu-seqneut-2026-SCH-034,A/BritishColumbia/RV01350-26/2026_H1N1,plate4-A/BritishColumbia/RV01350-26/2026_H1N1,0.006596,interpolated,0.008505,0.008505,interpolated,1.9,0.8085,0,0.7306,0.1516
