group,plate,serum,virus,replicate,ic50,ic50_bound,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd
human,plate18,flu-seqneut-2026-CTS-001,A/Andalucia/PMC-00977/2025_H1N1,plate18-A/Andalucia/PMC-00977/2025_H1N1,0.005265,interpolated,0.005817,0.005817,interpolated,1.571,0.9275,0,0.9475,0.07588
human,plate18,flu-seqneut-2026-CTS-001,A/Andalucia/PMC-01217/2025_H1N1,plate18-A/Andalucia/PMC-01217/2025_H1N1,0.006445,interpolated,0.006445,0.006445,interpolated,2.312,1,0,0.9931,0.03059
human,plate18,flu-seqneut-2026-CTS-001,A/Andalucia/PMC-01495/2025_H1N1,plate18-A/Andalucia/PMC-01495/2025_H1N1,0.005506,interpolated,0.005616,0.005616,interpolated,1.965,0.9809,0,0.9924,0.03171
human,plate18,flu-seqneut-2026-CTS-001,A/Arizona/40/2026_H1N1,plate18-A/Arizona/40/2026_H1N1,0.007386,interpolated,0.007386,0.007386,interpolated,2.433,1,0,0.9959,0.02316
human,plate18,flu-seqneut-2026-CTS-001,A/Astrakhan/RII-MH273373S/2025_H3N2,plate18-A/Astrakhan/RII-MH273373S/2025_H3N2,0.001713,interpolated,0.001713,0.001713,interpolated,0.9723,1,0,0.8735,0.1284
human,plate18,flu-seqneut-2026-CTS-001,A/Asturias/232590913/2025_H1N1,plate18-A/Asturias/232590913/2025_H1N1,0.005594,interpolated,0.005594,0.005594,interpolated,1.764,1,0,0.9956,0.02374
human,plate18,flu-seqneut-2026-CTS-001,A/Badajoz/18738342/2026_H3N2,plate18-A/Badajoz/18738342/2026_H3N2,0.001304,interpolated,0.001801,0.001801,interpolated,0.8,0.8862,0,0.7946,0.1203
human,plate18,flu-seqneut-2026-CTS-001,A/Badajoz/18811358/2026_H3N2,plate18-A/Badajoz/18811358/2026_H3N2,0.002269,interpolated,0.002313,0.002313,interpolated,0.8,0.9924,0,0.8393,0.125
human,plate18,flu-seqneut-2026-CTS-001,A/Badajoz/18813527/2026_H3N2,plate18-A/Badajoz/18813527/2026_H3N2,0.001953,interpolated,0.001953,0.001953,interpolated,0.8,1,0,0.9582,0.06201
human,plate18,flu-seqneut-2026-CTS-001,A/Bangkok/P2390/2025_H3N2,plate18-A/Bangkok/P2390/2025_H3N2,0.002086,interpolated,0.002086,0.002086,interpolated,1.008,1,0,0.9717,0.05781
human,plate18,flu-seqneut-2026-CTS-001,A/Bangkok/P2391/2025_H3N2,plate18-A/Bangkok/P2391/2025_H3N2,0.003294,interpolated,0.003294,0.003294,interpolated,0.8489,1,0,0.8465,0.1309
human,plate18,flu-seqneut-2026-CTS-001,A/Blaenavon/6687/2026_H3N2,plate18-A/Blaenavon/6687/2026_H3N2,0.001831,interpolated,0.001876,0.001876,interpolated,1.763,0.9791,0,0.9505,0.08851
human,plate18,flu-seqneut-2026-CTS-001,A/Bolivia/OR5702/2025_H3N2,plate18-A/Bolivia/OR5702/2025_H3N2,0.005315,interpolated,0.005365,0.005365,interpolated,1.223,0.9944,0,0.9726,0.05242
human,plate18,flu-seqneut-2026-CTS-001,A/BritishColumbia/RV00022-26/2025_H1N1,plate18-A/BritishColumbia/RV00022-26/2025_H1N1,0.006707,interpolated,0.006808,0.006808,interpolated,1.747,0.9871,0,0.9916,0.03086
human,plate18,flu-seqneut-2026-CTS-001,A/BritishColumbia/RV00279-26/2025_H3N2,plate18-A/BritishColumbia/RV00279-26/2025_H3N2,0.001426,interpolated,0.001442,0.001442,interpolated,0.8,0.9955,0,0.9241,0.08024
human,plate18,flu-seqneut-2026-CTS-001,A/BritishColumbia/RV01350-26/2026_H1N1,plate18-A/BritishColumbia/RV01350-26/2026_H1N1,0.008189,interpolated,0.008281,0.008281,interpolated,4.825,0.9738,0,0.9865,0.04353
human,plate18,flu-seqneut-2026-CTS-001,A/BritishColumbia/RV05508-25/2025_H1N1,plate18-A/BritishColumbia/RV05508-25/2025_H1N1,0.006652,interpolated,0.007209,0.007209,interpolated,2.105,0.9221,0,0.9682,0.05889
human,plate18,flu-seqneut-2026-CTS-001,A/California/GKISBBBH79910/2026_H3N2,plate18-A/California/GKISBBBH79910/2026_H3N2,0.001195,interpolated,0.001195,0.001195,interpolated,0.8,1,0,0.9652,0.05642
human,plate18,flu-seqneut-2026-CTS-001,A/California/NIRC-IS-1019/2026_H1N1,plate18-A/California/NIRC-IS-1019/2026_H1N1,0.006364,interpolated,0.006364,0.006364,interpolated,1.921,1,0,0.9989,0.01179
human,plate18,flu-seqneut-2026-CTS-001,A/California/NIRC-IS-1059/2026_H3N2,plate18-A/California/NIRC-IS-1059/2026_H3N2,0.001515,interpolated,0.001515,0.001515,interpolated,0.8,1,0,0.8313,0.1301
human,plate18,flu-seqneut-2026-CTS-001,A/California/NIRC-IS-1067/2026_H3N2,plate18-A/California/NIRC-IS-1067/2026_H3N2,0.0026,interpolated,0.002626,0.002626,interpolated,0.834,0.9959,0,0.8057,0.1476
human,plate18,flu-seqneut-2026-CTS-001,A/California/NIRC-IS-1356/2025_H1N1,plate18-A/California/NIRC-IS-1356/2025_H1N1,0.003969,interpolated,0.004033,0.004033,interpolated,2.318,0.9817,0,0.9888,0.04087
